index wavelength species expot  loggf logeps e_stat       eqw     e_eqw  fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
  204   4576.328    26.1 2.844  -2.95  6.235  0.045    59.543     2.190 0.155 -0.030  0.226 -0.039  0.049 0.236 0.100 0.261 14.722
  205   4580.048    24.0 0.941  -1.66  4.778  0.049    80.006     2.039 0.164  0.131 -0.013 -0.077 -0.011 0.153 0.100 0.189 27.947
  206   4582.835    26.1 2.844  -3.18  6.348  0.037    53.241     1.664 0.146 -0.029  0.228 -0.032  0.050 0.237 0.100 0.260 14.767
  207   4583.409    22.1 1.164  -2.84  4.168  0.029    50.306     1.563 0.152  0.005  0.216 -0.024  0.054 0.224 0.100 0.247 16.389
  208   4583.829    26.1 2.807  -1.94  6.579  0.046   125.317     2.826 0.205 -0.019  0.152 -0.083  0.048 0.181 0.100 0.212 22.334
  209   4588.198    24.1 4.068  -0.65  4.329  0.034    53.592     1.614 0.153 -0.044  0.211 -0.037  0.037 0.222 0.100 0.246 16.569
  210   4591.391    24.0 0.968  -1.74  4.480  0.033    61.394     1.674 0.149  0.126 -0.004 -0.040 -0.001 0.132 0.100 0.169 34.986
  211   4592.053    24.1 4.070   -1.3  4.338  0.073    24.333     2.946 0.146 -0.034  0.208 -0.009  0.025 0.212 0.100 0.246 16.541
  214     4602.0    26.0 1.607  -3.13  6.400  0.049    74.344     2.166 0.156  0.134  0.006 -0.067 -0.004 0.150 0.100 0.187 28.654
  215   4602.941    26.0 1.484  -2.21  6.492  0.064   120.322     2.725 0.176  0.150 -0.070 -0.131 -0.006 0.211 0.100 0.242 17.038
  216   4604.988    28.0 3.477  -0.24  4.836  0.040    51.193     2.088 0.170  0.073  0.024 -0.029  0.012 0.083 0.100 0.136 54.080
  217   4607.331    38.0 0.000  0.283  1.284  0.052    21.523     1.993 0.134  0.118 -0.002 -0.008  0.005 0.118 0.100 0.163 37.422
  218   4607.647    26.0 3.263  -1.33  6.282  0.043    66.067     1.997 0.158  0.095  0.006 -0.052  0.005 0.109 0.100 0.154 42.301
  219   4609.265    22.1 1.179  -3.32  4.163  0.057    25.008     2.498 0.150  0.007  0.214 -0.010  0.050 0.220 0.100 0.248 16.209
  220   4616.124    24.0 0.982  -1.19  4.350  0.053    80.135     2.051 0.157  0.129 -0.007 -0.075 -0.007 0.150 0.100 0.188 28.430
  221   4617.269    22.0 1.748   0.44  3.767  0.032    50.676     1.695 0.152  0.107 -0.003 -0.028  0.000 0.111 0.100 0.153 42.979
  222   4619.288    26.0 3.600  -1.06  6.225  0.031    59.047     1.551 0.148  0.084 -0.001 -0.037  0.008 0.092 0.100 0.139 51.409
  223   4620.513    26.1 2.828  -3.21  6.335  0.036    52.161     1.661 0.160 -0.029  0.228 -0.031  0.050 0.237 0.100 0.260 14.797
  224   4623.097    22.0 1.738   0.16  3.749  0.044    35.446     2.171 0.143  0.108  0.002 -0.013  0.004 0.109 0.100 0.154 42.034
  225   4625.045    26.0 3.239  -1.27  6.361  0.044    75.068     2.063 0.157  0.095 -0.027 -0.060  0.008 0.116 0.100 0.159 39.440
  226   4626.173    24.0 0.968  -1.33  4.343  0.044    74.445     1.980 0.150  0.128 -0.006 -0.064 -0.005 0.143 0.100 0.180 30.790
  227   4629.332    26.1 2.807  -2.26  6.214  0.043    90.836     1.868 0.168 -0.029  0.204 -0.086  0.051 0.229 0.100 0.254 15.551
  228    4630.12    26.0 2.277  -2.58  6.580  0.043    74.281     2.027 0.163  0.117  0.000 -0.059  0.002 0.131 0.100 0.170 34.454
  230   4634.073    24.1 4.069  -1.05  4.435  0.040    39.531     1.898 0.150 -0.040  0.211 -0.021  0.031 0.218 0.100 0.243 16.914
  231   4637.503    26.0 3.281  -1.29  6.359  0.039    71.993     1.846 0.158  0.094 -0.022 -0.054  0.008 0.111 0.100 0.154 41.978
  233   4646.162    24.0 1.029  -0.74  4.423  0.046    99.380     1.847 0.168  0.135 -0.034 -0.107 -0.013 0.176 0.100 0.208 23.193
  234   4648.652    28.0 3.417  -0.09  4.786  0.150    59.790     7.346 0.154  0.076  0.017 -0.040  0.012 0.088 0.100 0.201 24.808
  236   4651.291    24.0 0.982  -1.46  4.253  0.037    63.631     1.814 0.143  0.126 -0.004 -0.043 -0.001 0.133 0.100 0.171 34.350
  237   4652.157    24.0 1.003  -1.04  4.410  0.050    88.085     2.070 0.158  0.132 -0.016 -0.088 -0.011 0.160 0.100 0.195 26.284
  238   4657.201    22.1 1.242  -2.29  4.187  0.050    74.754     2.337 0.159  0.002  0.213 -0.059  0.056 0.228 0.100 0.254 15.506
  239   4675.117    22.0 1.066  -1.29  4.041  0.051    17.793     1.767 0.144  0.122 -0.001 -0.004  0.005 0.122 0.100 0.166 36.327
  240   4678.846    26.0 3.600  -0.68  6.280  0.043    80.167     1.999 0.164  0.088 -0.031 -0.067  0.008 0.115 0.100 0.158 39.828
  241   4686.213    28.0 3.594  -0.59  4.843  0.031    27.899     1.393 0.146  0.070  0.033 -0.010  0.013 0.079 0.100 0.131 58.072
  242   4702.991    12.0 4.346  -0.44  6.154  0.024   128.136     2.088 0.184  0.070 -0.145 -0.032  0.027 0.166 0.100 0.196 26.140
  243   4707.275    26.0 3.241  -0.96  6.325  0.056    88.164     2.633 0.171  0.099 -0.054 -0.075  0.009 0.136 0.100 0.178 31.686
  244   4708.663    22.1 1.236  -2.35  4.083  0.039    67.615     1.833 0.149  0.002  0.215 -0.047  0.056 0.227 0.100 0.251 15.849
  245   4714.417    28.0 3.377   0.25  4.869  0.067    82.161     3.066 0.166  0.082 -0.017 -0.071  0.012 0.110 0.100 0.163 37.470
  246    4722.15    30.0 4.030  -0.37  3.305  0.036    47.259     1.793 0.165  0.005  0.144 -0.029  0.038 0.152 0.100 0.185 29.118
  247   4727.395    26.0 3.684  -1.06  6.530  0.046    69.017     2.158 0.177  0.083 -0.003 -0.055  0.006 0.100 0.100 0.149 45.298
