index wavelength species expot  loggf logeps e_stat       eqw     e_eqw   fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
  183   4515.334    26.1 2.844   -2.6  5.746  0.067    85.664     3.540  0.209 -0.030  0.195 -0.052  0.062 0.213 0.100 0.245 16.677
  184   4518.022    22.0 0.825  -0.25  3.466  0.071    93.478     3.693  0.199  0.172 -0.055 -0.054 -0.041 0.193 0.100 0.229 19.139
  185   4518.332    22.1 1.079  -2.56  3.928  0.087   102.005     4.194  0.211  0.015  0.171 -0.071  0.054 0.193 0.100 0.235 18.184
  186   4520.221    26.1 2.807  -2.65  5.597  0.066    77.529     3.648  0.199 -0.029  0.201 -0.037  0.064 0.216 0.100 0.247 16.376
  188   4527.304    22.0 0.812  -0.45  3.583  0.067    90.391     3.677  0.191  0.171 -0.052 -0.049 -0.040 0.190 0.100 0.225 19.827
  190    4529.48    22.1 1.571  -1.75  4.075  0.107   118.542     4.641  0.222  0.002  0.173 -0.086  0.054 0.201 0.100 0.248 16.209
  191   4531.148    26.0 1.484   -2.1  5.831  0.095   148.268     5.346  0.204  0.191 -0.064 -0.095 -0.031 0.225 0.100 0.264 14.370
  192   4533.239    22.0 0.848   0.54  3.211  0.079   119.280     3.941  0.188  0.177 -0.067 -0.082 -0.049 0.212 0.100 0.247 16.344
  193   4534.776    22.0 0.835   0.35  3.108  0.084   105.072     4.137  0.172  0.175 -0.061 -0.074 -0.046 0.205 0.100 0.243 16.951
  194   4535.569    22.0 0.825   0.14  3.822  0.089   129.257     4.002  0.226  0.184 -0.065 -0.095 -0.050 0.223 0.100 0.260 14.809
  195   4544.687    22.0 0.818  -0.45  3.448  0.073    82.482     4.152  0.181  0.170 -0.050 -0.040 -0.036 0.185 0.100 0.223 20.151
  196   4545.133    22.1 1.130  -2.45  3.541  0.060    84.558     3.322  0.188  0.013  0.183 -0.051  0.065 0.201 0.100 0.233 18.489
  197   4547.847    26.0 3.544  -0.82  5.408  0.059    58.942     3.336  0.164  0.107 -0.016 -0.020 -0.015 0.111 0.100 0.161 38.742
  198   4548.764    22.0 0.825  -0.28  3.209  0.054    77.993     3.147  0.161  0.169 -0.049 -0.034 -0.034 0.182 0.100 0.215 21.649
