index wavelength species expot  loggf logeps e_stat       eqw     e_eqw   fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight                                              star
  135   4409.518    22.1 1.230  -2.53  3.562  0.053    54.704     2.668  0.189  0.027  0.190 -0.027  0.041 0.198 0.100 0.228 19.213 wukong10_163246133_lesspayne_norm_EQW_params_synt
  136   4411.073    22.1 3.092  -0.65  3.361  0.046    31.209     2.170  0.161 -0.008  0.190 -0.010  0.030 0.193 0.100 0.222 20.292 wukong10_163246133_lesspayne_norm_EQW_params_synt
  137    4411.93    22.1 1.223  -2.62  3.329  0.047    38.569     2.441  0.130  0.026  0.187 -0.013  0.042 0.194 0.100 0.223 20.085 wukong10_163246133_lesspayne_norm_EQW_params_synt
  139   4416.818    26.1 2.778  -2.57  5.624  0.062    67.495     2.614  0.164 -0.007  0.190 -0.046  0.036 0.199 0.100 0.231 18.724 wukong10_163246133_lesspayne_norm_EQW_params_synt
  140   4418.331    22.1 1.236  -1.99  3.446  0.061    73.925     2.549  0.147  0.028  0.178 -0.052  0.038 0.191 0.100 0.224 19.866 wukong10_163246133_lesspayne_norm_EQW_params_synt
  141   4421.938    22.1 2.060  -1.64  3.226  0.050    33.881     2.491  0.171  0.010  0.187 -0.011  0.037 0.191 0.100 0.221 20.383 wukong10_163246133_lesspayne_norm_EQW_params_synt
  143   4425.437    20.0 1.879 -0.358  4.543  0.061    80.989     2.749  0.159  0.106 -0.081 -0.049 -0.018 0.143 0.100 0.185 29.202 wukong10_163246133_lesspayne_norm_EQW_params_synt
  145    4427.31    26.0 0.052  -2.92  5.877  0.072   144.294     3.772  0.178  0.233 -0.178 -0.104 -0.019 0.312 0.100 0.335  8.902 wukong10_163246133_lesspayne_norm_EQW_params_synt
  146   4432.096    22.1 1.236  -3.08  3.037  0.085    10.167     1.934  0.101  0.027  0.189 -0.001  0.043 0.196 0.100 0.236 18.010 wukong10_163246133_lesspayne_norm_EQW_params_synt
  147   4434.957    20.0 1.886 -0.007  4.803  0.071   109.340     3.808  0.176  0.119 -0.158 -0.060 -0.007 0.207 0.100 0.240 17.296 wukong10_163246133_lesspayne_norm_EQW_params_synt
  151   4442.339    26.0 2.196  -1.23  5.632  0.063   106.310     3.168  0.169  0.149 -0.085 -0.070 -0.023 0.187 0.100 0.221 20.481 wukong10_163246133_lesspayne_norm_EQW_params_synt
  152   4443.801    22.1 1.079  -0.71  3.658  0.067   139.365     3.276  0.183  0.059  0.044 -0.101  0.050 0.135 0.100 0.181 30.667 wukong10_163246133_lesspayne_norm_EQW_params_synt
  153   4444.554    22.1 1.115   -2.2  3.503  0.062    73.748     2.608  0.166  0.031  0.179 -0.052  0.039 0.193 0.100 0.226 19.580 wukong10_163246133_lesspayne_norm_EQW_params_synt
  154   4447.717    26.0 2.221  -1.36  5.598  0.065    97.267     2.968  0.168  0.146 -0.072 -0.071 -0.026 0.179 0.100 0.216 21.532 wukong10_163246133_lesspayne_norm_EQW_params_synt
  155   4449.142    22.0 1.886   0.47  3.043  0.055    21.099     2.184  0.171  0.109 -0.025 -0.005 -0.013 0.113 0.100 0.160 38.871 wukong10_163246133_lesspayne_norm_EQW_params_synt
  156   4450.482    22.1 1.083  -1.52  3.577  0.074   103.991     2.644  0.173  0.039  0.152 -0.100  0.035 0.189 0.100 0.227 19.483 wukong10_163246133_lesspayne_norm_EQW_params_synt
  157   4450.894    22.0 1.878   0.32  3.098  0.061    18.051     2.161  0.146  0.109 -0.024 -0.004 -0.013 0.112 0.100 0.162 37.931 wukong10_163246133_lesspayne_norm_EQW_params_synt
  158   4453.313    22.0 1.429  -0.03  3.300  0.051    33.765     2.567  0.153  0.123 -0.028 -0.012 -0.015 0.128 0.100 0.170 34.621 wukong10_163246133_lesspayne_norm_EQW_params_synt
  159   4453.699    22.0 1.872    0.1  3.316  0.085    18.234     3.042  0.198  0.110 -0.024 -0.004 -0.013 0.113 0.100 0.173 33.237 wukong10_163246133_lesspayne_norm_EQW_params_synt
  160   4454.779    20.0 1.899  0.258  4.695  0.054   117.399     3.108  0.170  0.123 -0.177 -0.056 -0.001 0.223 0.100 0.250 15.997 wukong10_163246133_lesspayne_norm_EQW_params_synt
  161   4455.317    22.0 1.442    0.1  3.271  0.051    38.121     2.610  0.146  0.124 -0.028 -0.011 -0.016 0.129 0.100 0.171 34.318 wukong10_163246133_lesspayne_norm_EQW_params_synt
  162   4455.887    20.0 1.899 -0.518  4.712  0.049    80.587     2.228  0.153  0.106 -0.080 -0.048 -0.017 0.142 0.100 0.181 30.646 wukong10_163246133_lesspayne_norm_EQW_params_synt
